Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
子	zǐ zi̊ jì cī	cǝʔ cǝʔs	cǝ́	cǝ́	cjǝ́	cjɨ́	cjɨ́	cjɨ́	cjɨ́ cjɨ̀	child, son, daughter, young person; prince; a polite substitute for 'you'	1) сын; дитя; дети; 2) господин; учитель; философ; перен. Конфуций; 3) философские трактаты ( как раздел литературы ); 4) лицо определенного рода занятий; 5) интеллигентный (образованный) человек; 6) Вы; ты; 7) икра; яйца ( насекомых ); семена; плод; 8) 1-ый из циклических знаков двенадцатиричного цикла; время с 11 до 1 часа ночи; первый; январь; 9) цзы ( 4-й титул знати при маньчжурах ); барон; 10) производное; процент; доход; числитель ( дроби ); 11) Цзы ( фамилия ); [-zi] 1) суффикс имен существительных, обозначающих предметы, лица, профессии ; 2) суффикс некоторых наречий, образованных от существительных	Also read *cǝʔ-s, MC cjɨ̀, Mand. zì 'to treat as a son'. Related is 字 *ʒǝʔ-s 'to breed' q. v. The character is also used for an homonymous word *cǝʔ 'the first of the Earthly Branches' (in Sino-Viet.: tý).	Sino-Tibetan etymology	Dialectal data	39	3038	0964 a-j				tu`'	ci1	ci1	ci1	1.1, 5.1, 6.1, 9.2, 9.3, 10.1, 10.2, 11.1_, 12.1, 12.2, 12.3, 14.1, 14.2, 14.3, 19.1, 19.2, 19.3, 22.1, 22.2, 22.3, 24.2_, 24.3, 28.1, 28.2, 28.3, 31.2, 31.4, 32.3, 32.4, 33.2, 33.4, 34.4_, 37.4_, 39.2, 44.1, 44.2, 47.1, 47.3, 51.1, 51.2, 53.1, 53.2, 53.3, 54.3, 54.4, 55.1, 55.2, 55.3, 57.1, 58.1	咨此 [a]	紙 [a] 寘 [b] 支 [c]	十一月陽氣動. 萬物滋. 人以為偁. 象形. 凡子之屬皆從子. 古文子從巛. 象髮也. 籀文子囪有髮臂脛. 在几上也.
孑	jié	krat (~ -e-)	krat	krat	krat	ket	ket	ket	ket	rising straight and slender, as a lance; entire, undamaged	1) сирота; одинокий; 2) остаток; 3) род алебарды	The original meaning is 'a k. of lance', attested during LZ.			39	3090	0283 a								53.1, 53.2, 53.3			
孓	jue	kʷat	kwat	kwat	kwat	kwat	kwǝt	kwǝt	kwǝt	short [Tang]		A late character; also read MC küt id.			0	0												
寸	cùn	shūns	shwǝ̄nh	shwǝ̄nh	shwǝ̄nh	shwǝ̄̀n	shwǝ̄̀n	shwǝ̄̀n	chòn	inch, measure of length [L.Zhou]	1) цунь ( китайский дюйм , равный 3,2 см ); 2) маленький, крошечный; короткий; 3) во время...		Sino-Tibetan etymology	Dialectal data	41	3091	0431 a-b					ćhuĩ3	ćhui3	chuĩ4				
小	xiǎo	sewʔ	séw	sjáw	sjáw	sjéw	sjéw	sjéw	sjéw	be small, little; young	1) маленький, мелкий; немного, слегка; вчерне; уменьшать(ся); 2) второстепенный, незначительный; узкий; 3) молодой; малый; дети; 4) низкий, подлый; 5) вежл. я, мой; 6) префикс имен существительных с уменьшительным, уничижительным, иногда ласкательным значением ( часто с 兒 на конце ); 7) древн. наложница		Sino-Tibetan etymology	Dialectal data	42	8163	1149 a-d				tiê`u	śao3-, se3	se3	sẽ2	21.1, 21.2, 26.4_			
尢	wang	ʔʷāŋ	ʔwāŋ	ʔwāŋ	ʔwāŋ	ʔwāŋ	ʔwāŋ	ʔwāŋ	ʔwâŋ	curved [Han]					0	0												
尸	shī	ƛij	ƛij	l̥jǝj	śǝj	śij	śij	śi	śi	corpse, representative of the dead	1) фигура человека в сидячей позе; идол, образ; 2) мертвое тело, труп; 3) пустое место; синекура; 4) уст. распорядитель; 5) Ши ( фамилия )	Also means 'to set forth (sacrificial dishes)' (Sch.: perhaps s.w. as above).	Sino-Tibetan etymology		44	4142	0561 a-b								15.3			
山	shān	srān	srān	ṣān	ṣān	ṣān	ṣạ̄n	ṣạ̄n	ṣạ̈n	mountain	1) гора; горный; уединенный; 2) горные угодья; продукты горной местности ( масличные растения ; дрова ); 3) рама для выкормки шелковичных червей; 4) могила; 5) боковые стены дома; 6) обр. множество; громадный; 7) Шань ( фамилия )	The MC reading is irregular (*ṣạn would be expected).	Sino-Tibetan etymology	Dialectal data	46	975	0193 a-c				so'n	sü2	sü3	šẽr4	14.2, 14.3, 19.1, 19.2, 19.3, 38.4, 47.1, 50.2			
川	chuān	slun	l̥wǝn	l̥wǝn	śwǝn	śwɨn	śwɨn	śwɨn	ćhwen	river, river valley, stream	1) река; поток; 2) течение; непрерывный, вечный; 3) сокр. провинция Сычуань; 4) путевой, дорожный ( о расходах )	The MC form is irregular, both in initial and final (*świn would be normally expected); xiesheng and rhymes, however, are rather in favour of reconstructing *slun.		Dialectal data	47	2778	0462 a											
工	gōng	kōŋ	kōŋ	kōŋ	kōŋ	kōŋ	kōŋ	kwōŋ	kuŋ	work; merit; artisan	1) труд, работа; 2) ремесленник; рабочий; 3) ремесло; промышленность; 4) искусный; тщательный; быть искусным ( в чем-л. ); мастерство; 5) трудодень; 6) сокр. профсоюз		Sino-Tibetan etymology	Dialectal data	48	81	1172 a-c				công							
己	jǐ [qǐ]	klǝʔ	kǝ́	kǝ́	kǝ́	kɨ́	kɨ́	kɨ́	kɨ́	the 6th of the Heavenly Stems; self	1) сам, лично; собственный; себе, себя; 2) 6-й знак десятиричного цикла			Dialectal data	49	7082	0953 a-e									基矣	紙	中宮也. 象萬物辟藏詘形也. 己承戊. 象人腹. 凡己之屬皆從己.
已	yǐ	lǝʔ	lǝ́	lǝ́	źǝ́	źɨ́	jɨ́	jɨ́	jɨ́	to cease, end, finish, complete	1) остановить, прекратить; прекратиться, кончить; 2) уйти с поста, уйти (уволить) в отставку; дать отставку; 3) прошедший, прошлый; уже; 4) и то уже; уже чересчур; указывает на законченный характер следующего действия или состояния ; 5) древн. на конце предложений указывает законченность действия или становление, см. 矣; 6) древн. восклицание о!, увы!; 7) древн. в обстоятельствах времени, места вм. 以	Used also for a homonymous interjection *lǝʔ 'oh'; sometimes used as a loan for 以 *lǝʔ.	Sino-Tibetan etymology		49	7080									27.1_, 40.1, 40.2, 40.3			
巳	sì	lhǝʔ	lhǝ́	lhǝ́	zhjǝ́	zhjɨ́	zhjɨ́	zhjɨ́	zjɨ́	the 6th of the Earthly Branches	1) 6-ой знак двенадцатеричного цикла; шестой; июнь ( перед датой ); 2) время с 9 до 11 часов утра; 3) Сы ( фамилия )				49	7089	0967 a-c				tỵ					習齒	紙	巳也. 四月陽气巳出. 陰气巳藏. 萬物見成文章. 故巳為蛇象形. 凡巳之屬皆從巳.
巾	jīn	krǝn	krǝn	krǝn	krǝn	kin	kin	kin	kin	scarf, towel	1) полотенце; платок; скатерть; 2) чалма; полотнище	Regular Sino-Viet. is cân.		Dialectal data	50	3858	0482 a-c				khăn	-ći4	-ći5	-ćĩ4				
干	gān	kān	kān	kān	kān	kān	kān	kān	kân	shield; to protect; place name		The graph is also used for the homonymous *kān 'to strive for, seek',  *kān 'bank (of a river)' and *kān 'flag pole' ( = 竿 q.v.). Schüssler (186) considers the latter word to be etymologically identical with 'shield' (as "a pole to which something can be attached") - but this is dubious, both for semantic (a shield is not a pole) and etymologic reasons.	Sino-Tibetan etymology	Dialectal data	0	0	0139 a-b				can	kã4	ka5	qõ4	7.1, 39.3_, 53.1, 53.2, 53.3			犯也.從一.從犯入.凡干之屬皆從干. [87]
廾	gǒng	koŋʔ	kóŋ	kóŋ	kóŋ	kóŋ	kóŋ	kóŋ	kö́uŋ	join the hands, present with both hands [Yin]					0	0	1182 a-b											
弋	yì	Łǝk	Łǝk	lǝk	źǝk	źɨk	jɨk	jɨk	jik	to shoot with stringed arrow; clan name	1) стрелять привязной стрелой; 2) добыть, захватить; 3) черный; 4) И ( фамилия )		Sino-Tibetan etymology		56	6716	0918 a-b								48.2_			
弓	gōng	kʷǝŋ	kwǝŋ	kwǝŋ	kwǝŋ	kwɨŋ	kwɨŋ	kwɨŋ	küŋ	bow	1) лук ( для стрельбы ); 2) изогнутый, дугообразный; 3) гун ( мера длины в 5 чи ); 4) Гун ( фамилия )	Viet. cong ('curved, bent') is colloquial; the normal Sino-Viet. reading  is cung ('bow'). In Viet. there is also a doublet còng.	Sino-Tibetan etymology	Dialectal data	57	4622	0901 a-d				cong	kõ4	kü5-	kü̃4				
才	cái	ʒ́hǝ̄	ʒhǝ̄	ʒhǝ̄	ʒhǝ̄	ʒhǝ̄	ʒhǝ̄	ʒhǝ̄j	ʒʌj	talent, gift, quality	1) способности, талант; талантливый человек; 2) материал; сырье, вм. 材; 3) только, только что; только тогда, вм. 纔; связка перед сказуемым главного предложения ; 4) характер, природа ( человека )	For *ʒ́h cf. Chaozhou, Fuzhou chai 2 .	Sino-Tibetan etymology	Dialectal data	64	3229	0943 a-f				tài							
丑	chǒu	snruʔ	n̥rú	n̥rǝ́w	ṇ̥́rǝ́w	ṭhíw	ṭhǝ́w	ṭhǝ́w	ṭhǝ́w	the second of the Earthly Branches	1) 2-й циклический знак из 12-ти; 2-й по порядку, "б"; февраль; 2) время от 1 часа до 3 часов ночи; 3) театр. комик, шут				1	527	1076 a-d					chɨ1				恥有	有	紐也. 十二月萬物動用事. 象手之形. 時加丑. 亦舉手時也. 凡丑之屬皆從丑.
丐	gài	kāts	kāć	kāś	kāś	kāś	kā̀j	kā̀j	kầj	to pray, beg	1) нищий ( также 丐子); просить милостыню; клянчить, просить; 2) подавать	Also read *kāt, MC kât, Pek. ge id.			1	4423	0313 a-c	kai	kai	kai;gai;kou;ataeru								
不	bù [fǒu] [fōu] [fěi] [pēi] [bī] [biáo]	pǝ	pǝ	pǝ	pwǝ	piw	pǝw	pǝw	pǝw	not, the indicative-objective negative	1) отрицание перед прилагательными, модальными глаголами, связками ; перед прочими глаголами выражает одновременно оттенки настоящего или будущего времени, в противоположность 沒; не; 2) в диалоге нет!; 3) разг. на конце вопросительного предложения заменяет сказуемое в отрицательной форме ; 4) инфикс невозможности совершения действия в сложных глаголах с суффиксами ; 5) с последующим 也, 亦 если не..., даже если не...; [fǒu] вэньянь нет, или нет, вм. 否	This OC negation has no certain ST parallels; although there are some vague traces of a *p-negation in WC languages (perhaps also in Yenisseian, where it, however, should have regularly merged with the more widely spread *m-negation), it may be a purely Chinese innovation. Cf. PAN *bak (? *ba) 'negative marker'.		Dialectal data	1	7799					bất	-pio1	pio1		1.2, 3.1, 3.2, 3.3, 9.1, 9.2, 9.3, 10.2, 17.1, 17.2, 17.3, 21.1, 21.2, 22.1, 22.2, 22.3, 24.1, 26.1, 26.2, 26.3, 26.4, 26.5, 29.1, 29.2, 29.4, 30.3, 30.4, 31.2, 33.4, 34.2, 35.1, 35.3, 35.5, 35.6, 36.1, 36.2, 37.3, 39.1, 39.3, 42.1, 43.1, 43.2, 44.2, 45.1, 45.2, 46.1, 46.2, 46.3, 47.1, 47.2, 51.3, 52.1, 52.2, 52.3, 54.2, 54.4, 55.1, 55.2, 55.3, 58.2, 58.4, 58.5	夫優 [a] 甫有 [b] 夫物 [g] 福烏 [h]	月 [a] 有 [b] 尤 [cg] 紙 [d] 支 [ef] 物 [g]	鳥飛上翔不下來也. 從一. 一猶天也. 象形. 凡不之屬皆從不.
中	zhōng zhòng	truŋ truŋs	truŋ truŋh	ṭǝuŋ ṭǝuŋh	ṭǝuŋ ṭǝuŋh	ṭɨuŋ ṭɨùŋ	ṭuŋ ṭùŋ	ṭuŋ ṭùŋ	ṭüŋ ṭǜŋ	be in the middle; just, correct; make a legal decision	1) середина, центр; быть в центре; второй ( из трех ); внутренний; средний; 2) послелог среди, между, внутри; в; 3) Китай; китайский; 4) посредственный, средней руки; 5) посредник; комиссионный; 6) беспристрастный, справедливый; 7) половина, наполовину; на полпути; 8) блага, милости ( напр. природы ); 9) Чжун ( фамилия ); [zhòng] 1) попасть в цель; достичь цели; добиться успеха; выиграть ( напр. по займу ); выдержать ( экзамен ); 2) соответствовать, отвечать требованиям; подходить, прийтись по вкусу; 3) подвергнуться; попасть в ( ловушку ); 4) впасть в ( ошибку ); попасть под ( шальную пулю )	Also read *truŋ-s, MC ṭǜŋ, Mand. zhòng 'to hit the middle' (L.Zhou). Standard Sino-Viet. is trung (for ṭüŋ), trúng (for ṭǜŋ). Cf. also 仲 *druŋ-s 'the one in the middle'.	Sino-Tibetan etymology	Dialectal data	2	2625	1007 a-e	tiyuu	tiyuu	chū;naka;uchi;ataru	trong	cõ2- ( = 射?; used in cõ2-to4 '射中')	co2-	ṭo2-	2.1, 7.2, 7.3, 13.2_, 30.1, 35.2, 36.1, 36.2_, 38.1, 44.1, 45.1, 46.1, 46.2, 46.3, 48.1_, 48.2_, 48.3_, 50.1_	豬弓 [a] 竹鳳 [b]	東 [a] 送 [b]	內也. 從口丨. 下上通.
丰	fēng	phoŋ	phoŋ	phoŋ	phoŋ	phoŋ	phoŋ	phoŋ	phöuŋ	be flourishing, elegant	1) прекрасный, красивый; 2) манера держаться, манеры; 3) густой, обильный, роскошный, вм. 豐				3	2548	1197 a-c											
丹	dān	tān	tān	tān	tān	tān	tān	tān	tân	cinnabar, vermilion	1) киноварь; сурик; красный; 2) пилюля; патентованное средство; панацея; даос. философский камень, пилюля бессмертия; 3) искренний, честный, преданный; 4) сокр. Дания	For etymology see 赬, 赭.		Dialectal data	3	4012	0150 a-b	tan	tan	tan;akai								
之	zhī	tǝ	tǝ	tǝ	ćǝ	ćɨ	ćɨ	ćɨ	ćɨ	This; he, she, it, they, them. The basic meaning of the character is 'to go, proceed' (reflected as 'to go out' in the Shuowen gloss, but occurring in texts only with the normal meaning  'to go, proceed'); the use of 之 for a pronoun is secondary, due to homonymy.	1) его, их, это, этих ( после сказуемого служебный показатель объекта в вэньяне ); часто не обозначает никакого конкретного объекта и служит лишь показателем переходности действия ; 2) служебное слово между определением и определяемым, формант обособленного определения ; 3) в придаточных (членных) предложениях ставится после подлежащего и служит показателем несамостоятельного характера предложения ; 4) предшествует концовкам обстоятельств места и времени ; 5) древняя эвфоническая частица без значения ; 6) древн. этот; сей; его; 7) древн. или; 8) древн. отправиться; поехать; доехать, достичь; распространиться; перейти к...; что касается, вм. 至	The word is used normally either as an object pronoun ('him','her', etc.), or as a marker of possession or attribution (as in Shi 1,1) - probably reflecting different usages of a single original morpheme. Sometimes it also occurs as a demonstrative attribute 'this' - but Schüssler is probably right in thinking that in such cases it is actually written instead of the demonstrative 時 *dǝ (which, just as 是 *deʔ 'this', is also etymologically related).	Sino-Tibetan etymology	Dialectal data	4	6439	0962 a-b	si	si	shi;yuku;kore;kono;no		-ta6 (這)	tɨ3 (這)		1.1, 2.1, 2.2, 4.1, 4.2, 4.3, 6.1, 6.2, 6.3, 7.1, 8.1, 9.1, 9.2, 9.3, 11.1, 11.2, 11.3, 12.1, 12.2, 12.3, 13.1, 13.2, 15.1, 15.2, 15.3, 18.1, 18.2, 18.3, 19.1, 19.2, 19.3, 20.3, 22.1, 22.2, 22.3, 24.1, 24.2, 24.3, 26.2, 26.4, 26.5, 27.1, 27.2, 28.1, 28.2, 28.3, 28.4, 29.1, 29.2, 29.3, 31.3, 32.3, 33.1, 33.3, 35.4, 36.1, 36.2, 37.1, 37.4, 38.1, 38.4, 39.1, 40.1, 40.2, 40.3, 42.3, 43.1, 43.2, 43.3, 45.1, 45.2, 46.1, 46.2, 46.3, 47.1, 47.2, 48.1, 48.2, 48.3, 49.1, 49.2, 50.1, 51.1, 51.3, 53.1, 53.2, 53.3, 54.3, 54.4_, 57.1, 58.1, 58.3, 58.4			出也.象草過え.枝莖漸益大.有所之也.一者地也.
